SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_ID
22025,1630552,0022500519,"Jan 07, 2026",ATL vs. NOP,W,36,9,18,0.5,0,5,0.0,1,3,0.333,1,7,8,5,0,1,6,1,19,6,1,1630552
22025,1630552,0022500504,"Jan 05, 2026",ATL @ TOR,L,37,5,15,0.333,0,4,0.0,3,4,0.75,3,11,14,7,1,1,6,0,13,-27,1,1630552
22025,1630552,0022500488,"Jan 03, 2026",ATL @ TOR,L,37,10,21,0.476,4,9,0.444,6,9,0.667,2,5,7,9,0,0,4,1,30,-11,1,1630552
22025,1630552,0022500479,"Jan 02, 2026",ATL @ NYK,W,38,7,14,0.5,1,3,0.333,3,6,0.5,1,9,10,11,2,0,4,1,18,11,1,1630552
22025,1630552,0022500463,"Dec 31, 2025",ATL vs. MIN,W,32,15,22,0.682,3,6,0.5,1,1,1.0,2,8,10,6,2,1,3,1,34,12,1,1630552
22025,1630552,0022500435,"Dec 27, 2025",ATL vs. NYK,L,37,7,16,0.438,1,3,0.333,5,6,0.833,0,9,9,12,0,2,2,3,20,4,1,1630552
22025,1630552,0022500423,"Dec 26, 2025",ATL vs. MIA,L,38,10,17,0.588,1,6,0.167,3,4,0.75,0,9,9,10,1,0,4,2,24,-5,1,1630552
22025,1630552,0022500411,"Dec 23, 2025",ATL vs. CHI,L,39,11,23,0.478,1,7,0.143,1,3,0.333,0,9,9,10,1,2,5,3,24,-14,1,1630552
22025,1630552,0022500396,"Dec 21, 2025",ATL vs. CHI,L,36,12,20,0.6,2,6,0.333,10,11,0.909,3,8,11,9,0,0,2,2,36,-5,1,1630552
22025,1630552,0022500383,"Dec 19, 2025",ATL vs. SAS,L,31,6,11,0.545,1,1,1.0,4,4,1.0,2,9,11,6,1,0,7,2,17,-15,1,1630552
22025,1630552,0022500371,"Dec 18, 2025",ATL @ CHA,L,39,16,27,0.593,4,9,0.444,7,7,1.0,1,10,11,9,1,1,4,3,43,-2,1,1630552
22025,1630552,0022501217,"Dec 14, 2025",ATL vs. PHI,W,35,5,17,0.294,0,1,0.0,2,2,1.0,4,6,10,12,1,1,2,3,12,4,1,1630552
22025,1630552,0022501210,"Dec 12, 2025",ATL @ DET,L,34,7,19,0.368,1,6,0.167,4,4,1.0,4,7,11,12,2,0,6,3,19,-25,1,1630552
22025,1630552,0022500351,"Dec 06, 2025",ATL @ WAS,W,39,10,18,0.556,2,5,0.4,8,8,1.0,0,12,12,12,2,0,3,1,30,7,1,1630552
22025,1630552,0022500340,"Dec 05, 2025",ATL vs. DEN,L,38,9,20,0.45,1,4,0.25,2,2,1.0,4,14,18,16,2,0,3,3,21,3,1,1630552
22025,1630552,0022500309,"Dec 01, 2025",ATL @ DET,L,38,9,17,0.529,4,8,0.5,7,8,0.875,3,10,13,7,0,0,4,5,29,6,1,1630552
22025,1630552,0022500304,"Nov 30, 2025",ATL @ PHI,W,45,10,21,0.476,4,8,0.5,17,22,0.773,0,14,14,7,1,1,6,1,41,-3,1,1630552
22025,1630552,0022500069,"Nov 28, 2025",ATL vs. CLE,W,39,9,18,0.5,3,7,0.429,8,12,0.667,3,9,12,12,2,0,3,1,29,20,1,1630552
22025,1630552,0022500057,"Nov 25, 2025",ATL @ WAS,L,30,3,12,0.25,0,4,0.0,1,1,1.0,2,5,7,7,1,2,5,3,7,-20,1,1630552
22025,1630552,0022500276,"Nov 23, 2025",ATL vs. CHA,W,40,11,22,0.5,2,4,0.5,4,5,0.8,1,7,8,11,1,0,0,0,28,3,1,1630552
22025,1630552,0022500270,"Nov 22, 2025",ATL @ NOP,W,34,6,15,0.4,2,4,0.5,4,6,0.667,1,10,11,9,1,1,4,1,18,20,1,1630552
22025,1630552,0022500267,"Nov 20, 2025",ATL @ SAS,L,38,10,15,0.667,2,3,0.667,4,6,0.667,0,12,12,7,1,0,4,3,26,-1,1,1630552
22025,1630552,0022500251,"Nov 18, 2025",ATL vs. DET,L,39,8,18,0.444,3,8,0.375,6,6,1.0,0,8,8,9,3,1,4,2,25,-7,1,1630552
22025,1630552,0022500239,"Nov 16, 2025",ATL @ PHX,W,39,9,13,0.692,2,3,0.667,5,6,0.833,2,8,10,7,1,0,5,1,25,21,1,1630552
22025,1630552,0022500227,"Nov 13, 2025",ATL @ UTA,W,41,10,19,0.526,4,5,0.8,7,11,0.636,2,16,18,14,7,0,6,0,31,16,1,1630552
22025,1630552,0022500223,"Nov 12, 2025",ATL @ SAC,W,24,9,10,0.9,2,3,0.667,4,4,1.0,0,10,10,8,1,0,1,2,24,39,1,1630552
22025,1630552,0022500206,"Nov 10, 2025",ATL @ LAC,W,35,7,16,0.438,0,3,0.0,2,2,1.0,0,10,10,8,1,1,1,2,16,3,1,1630552
22025,1630552,0022500030,"Nov 07, 2025",ATL vs. TOR,L,33,8,14,0.571,2,5,0.4,3,3,1.0,1,6,7,4,1,0,6,2,21,-9,1,1630552
22025,1630552,0022500166,"Nov 04, 2025",ATL vs. ORL,W,33,6,11,0.545,1,2,0.5,4,5,0.8,0,6,6,5,1,0,3,4,17,-1,1,1630552
22025,1630552,0022500151,"Nov 02, 2025",ATL @ CLE,L,35,10,16,0.625,1,2,0.5,2,5,0.4,1,12,13,5,1,0,4,1,23,-12,1,1630552
22025,1630552,0022500020,"Oct 31, 2025",ATL @ IND,W,33,9,16,0.563,0,3,0.0,4,4,1.0,1,12,13,8,2,1,1,2,22,13,1,1630552
22025,1630552,0022500130,"Oct 29, 2025",ATL @ BKN,W,29,10,16,0.625,1,3,0.333,2,2,1.0,4,3,7,5,1,0,2,4,23,-11,1,1630552
